Data,HAVAIANAS TOP,HAVAIANAS SLIM,HAVAIANAS TRADICIONAL,HAVAIANAS TREND,HAVAIANAS BRASIL
10/27/2022,9,4,1,1,1
10/26/2022,12,9,1,0,3
10/25/2022,2,2,0,0,1
10/24/2022,6,1,2,0,1
10/23/2022,0,0,0,0,0
10/22/2022,0,6,2,1,3
10/21/2022,22,6,0,2,1
10/20/2022,11,8,1,0,3
