FILIAL;DATA_VENDA;PRODUTO;DESC_PRODUTO;GRUPO_PRODUTO;SUBGRUPO_PRODUTO;QTDE_LIQUIDA;
HAVAIANAS MINAS SHOPP    ;29/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;07/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;19/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;09/10/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;09/09/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;20/09/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;04/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;06/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;03/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;15/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;09/01/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;12/01/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;15/01/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;29/06/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;0;
HAVAIANAS MINAS SHOPP    ;17/09/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;18/09/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;01/10/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;06/09/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;12/09/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;07/10/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;02/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;-1;
HAVAIANAS MINAS SHOPP    ;12/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;26/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;01/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;04/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;05/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;07/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;18/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;22/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;23/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;2;
HAVAIANAS MINAS SHOPP    ;24/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;30/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;2;
HAVAIANAS MINAS SHOPP    ;31/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;11/01/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;16/01/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;21/01/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;-1;
HAVAIANAS MINAS SHOPP    ;26/01/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;27/01/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;03/02/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;3;
HAVAIANAS MINAS SHOPP    ;05/02/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;2;
HAVAIANAS MINAS SHOPP    ;07/02/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;18/02/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;20/02/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;06/03/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;0;
HAVAIANAS MINAS SHOPP    ;12/03/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;15/03/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;27/03/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;2;
HAVAIANAS MINAS SHOPP    ;31/03/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;06/04/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;08/04/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;2;
HAVAIANAS MINAS SHOPP    ;10/04/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;16/04/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;25/04/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;26/04/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;30/04/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;21/05/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;22/05/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;04/06/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
